"id_sequence" ,"matrix"                                                                                                                                   ,"sequence"
           91 ,"[[2, 5, 14, 35, 80, 171], [3, 9, 21, 45, 91, 0], [6, 12, 24, 46, 0, 0], [6, 12, 22, 0, 0, 0], [6, 10, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"   ,"[2, 5, 14, 35, 80, 171, 344, 653, 1174, 2009]"
           92 ,"[[5, 6, 13, 30, 66, 137], [1, 7, 17, 36, 71, 0], [6, 10, 19, 35, 0, 0], [4, 9, 16, 0, 0, 0], [5, 7, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"     ,"[5, 6, 13, 30, 66, 137, 268, 495, 867, 1448]"
           93 ,"[[1, 2, 6, 14, 32, 73], [1, 4, 8, 18, 41, 0], [3, 4, 10, 23, 0, 0], [1, 6, 13, 0, 0, 0], [5, 7, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"         ,"[1, 2, 6, 14, 32, 73, 159, 323, 611, 1084]"
           94 ,"[[3, 5, 13, 30, 62, 124], [2, 8, 17, 32, 62, 0], [6, 9, 15, 30, 0, 0], [3, 6, 15, 0, 0, 0], [3, 9, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"      ,"[3, 5, 13, 30, 62, 124, 246, 479, 901, 1623]"
           95 ,"[[5, 10, 19, 35, 62, 111], [5, 9, 16, 27, 49, 0], [4, 7, 11, 22, 0, 0], [3, 4, 11, 0, 0, 0], [1, 7, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"     ,"[5, 10, 19, 35, 62, 111, 206, 390, 731, 1328]"
           96 ,"[[5, 9, 17, 31, 58, 112], [4, 8, 14, 27, 54, 0], [4, 6, 13, 27, 0, 0], [2, 7, 14, 0, 0, 0], [5, 7, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"      ,"[5, 9, 17, 31, 58, 112, 216, 404, 723, 1235]"
           97 ,"[[5, 9, 18, 33, 57, 99], [4, 9, 15, 24, 42, 0], [5, 6, 9, 18, 0, 0], [1, 3, 9, 0, 0, 0], [2, 6, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"         ,"[5, 9, 18, 33, 57, 99, 178, 327, 597, 1061]"
           98 ,"[[3, 5, 12, 28, 60, 124], [2, 7, 16, 32, 64, 0], [5, 9, 16, 32, 0, 0], [4, 7, 16, 0, 0, 0], [3, 9, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"      ,"[3, 5, 12, 28, 60, 124, 251, 493, 929, 1671]"
           99 ,"[[4, 5, 7, 13, 32, 81], [1, 2, 6, 19, 49, 0], [1, 4, 13, 30, 0, 0], [3, 9, 17, 0, 0, 0], [6, 8, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"         ,"[4, 5, 7, 13, 32, 81, 187, 389, 740, 1309]"
          100 ,"[[3, 4, 10, 27, 62, 124], [1, 6, 17, 35, 62, 0], [5, 11, 18, 27, 0, 0], [6, 7, 9, 0, 0, 0], [1, 2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"      ,"[3, 4, 10, 27, 62, 124, 225, 381, 613, 948]"
          101 ,"[[1, 2, 8, 23, 54, 112], [1, 6, 15, 31, 58, 0], [5, 9, 16, 27, 0, 0], [4, 7, 11, 0, 0, 0], [3, 4, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"       ,"[1, 2, 8, 23, 54, 112, 213, 379, 639, 1030]"
          102 ,"[[2, 6, 16, 37, 75, 142], [4, 10, 21, 38, 67, 0], [6, 11, 17, 29, 0, 0], [5, 6, 12, 0, 0, 0], [1, 6, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"    ,"[2, 6, 16, 37, 75, 142, 261, 471, 832, 1430]"
          103 ,"[[4, 8, 16, 30, 54, 99], [4, 8, 14, 24, 45, 0], [4, 6, 10, 21, 0, 0], [2, 4, 11, 0, 0, 0], [2, 7, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"       ,"[4, 8, 16, 30, 54, 99, 188, 361, 680, 1234]"
          104 ,"[[4, 8, 15, 27, 49, 91], [4, 7, 12, 22, 42, 0], [3, 5, 10, 20, 0, 0], [2, 5, 10, 0, 0, 0], [3, 5, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"       ,"[4, 8, 15, 27, 49, 91, 170, 312, 554, 946]"
          105 ,"[[3, 5, 13, 30, 64, 129], [2, 8, 17, 34, 65, 0], [6, 9, 17, 31, 0, 0], [3, 8, 14, 0, 0, 0], [5, 6, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"      ,"[3, 5, 13, 30, 64, 129, 246, 444, 761, 1245]"
          106 ,"[[3, 5, 11, 23, 46, 91], [2, 6, 12, 23, 45, 0], [4, 6, 11, 22, 0, 0], [2, 5, 11, 0, 0, 0], [3, 6, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"       ,"[3, 5, 11, 23, 46, 91, 178, 339, 621, 1089]"
          107 ,"[[5, 10, 20, 36, 63, 111], [5, 10, 16, 27, 48, 0], [5, 6, 11, 21, 0, 0], [1, 5, 10, 0, 0, 0], [4, 5, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"    ,"[5, 10, 20, 36, 63, 111, 196, 341, 577, 944]"
          108 ,"[[1, 6, 12, 22, 40, 73], [5, 6, 10, 18, 33, 0], [1, 4, 8, 15, 0, 0], [3, 4, 7, 0, 0, 0], [1, 3, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"         ,"[1, 6, 12, 22, 40, 73, 133, 239, 419, 712]"
          109 ,"[[3, 8, 18, 35, 64, 118], [5, 10, 17, 29, 54, 0], [5, 7, 12, 25, 0, 0], [2, 5, 13, 0, 0, 0], [3, 8, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"     ,"[3, 8, 18, 35, 64, 118, 223, 423, 785, 1404]"
          110 ,"[[3, 4, 6, 14, 34, 76], [1, 2, 8, 20, 42, 0], [1, 6, 12, 22, 0, 0], [5, 6, 10, 0, 0, 0], [1, 4, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"         ,"[3, 4, 6, 14, 34, 76, 157, 304, 557, 972]"
          111 ,"[[6, 11, 18, 32, 62, 124], [5, 7, 14, 30, 62, 0], [2, 7, 16, 32, 0, 0], [5, 9, 16, 0, 0, 0], [4, 7, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"     ,"[6, 11, 18, 32, 62, 124, 244, 461, 830, 1425]"
          112 ,"[[5, 11, 18, 27, 43, 77], [6, 7, 9, 16, 34, 0], [1, 2, 7, 18, 0, 0], [1, 5, 11, 0, 0, 0], [4, 6, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"        ,"[5, 11, 18, 27, 43, 77, 148, 285, 529, 935]"
          113 ,"[[6, 7, 11, 19, 35, 71], [1, 4, 8, 16, 36, 0], [3, 4, 8, 20, 0, 0], [1, 4, 12, 0, 0, 0], [3, 8, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"         ,"[6, 7, 11, 19, 35, 71, 152, 321, 644, 1215]"
          114 ,"[[1, 2, 7, 21, 51, 108], [1, 5, 14, 30, 57, 0], [4, 9, 16, 27, 0, 0], [5, 7, 11, 0, 0, 0], [2, 4, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"       ,"[1, 2, 7, 21, 51, 108, 209, 379, 653, 1078]"
          115 ,"[[1, 5, 13, 29, 61, 125], [4, 8, 16, 32, 64, 0], [4, 8, 16, 32, 0, 0], [4, 8, 16, 0, 0, 0], [4, 8, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"      ,"[1, 5, 13, 29, 61, 125, 249, 477, 873, 1525]"
          116 ,"[[4, 6, 9, 19, 45, 103], [2, 3, 10, 26, 58, 0], [1, 7, 16, 32, 0, 0], [6, 9, 16, 0, 0, 0], [3, 7, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"       ,"[4, 6, 9, 19, 45, 103, 220, 438, 818, 1444]"
          117 ,"[[3, 7, 17, 39, 82, 164], [4, 10, 22, 43, 82, 0], [6, 12, 21, 39, 0, 0], [6, 9, 18, 0, 0, 0], [3, 9, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"    ,"[3, 7, 17, 39, 82, 164, 318, 598, 1085, 1893]"
          118 ,"[[6, 12, 22, 39, 71, 135], [6, 10, 17, 32, 64, 0], [4, 7, 15, 32, 0, 0], [3, 8, 17, 0, 0, 0], [5, 9, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"    ,"[6, 12, 22, 39, 71, 135, 261, 496, 908, 1590]"
          119 ,"[[5, 11, 22, 41, 77, 149], [6, 11, 19, 36, 72, 0], [5, 8, 17, 36, 0, 0], [3, 9, 19, 0, 0, 0], [6, 10, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"   ,"[5, 11, 22, 41, 77, 149, 290, 551, 1005, 1751]"
          120 ,"[[2, 6, 15, 31, 57, 100], [4, 9, 16, 26, 43, 0], [5, 7, 10, 17, 0, 0], [2, 3, 7, 0, 0, 0], [1, 4, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"       ,"[2, 6, 15, 31, 57, 100, 174, 303, 524, 890]"
          121 ,"[[4, 8, 15, 29, 60, 125], [4, 7, 14, 31, 65, 0], [3, 7, 17, 34, 0, 0], [4, 10, 17, 0, 0, 0], [6, 7, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"     ,"[4, 8, 15, 29, 60, 125, 249, 466, 820, 1366]"
          122 ,"[[3, 5, 12, 27, 56, 114], [2, 7, 15, 29, 58, 0], [5, 8, 14, 29, 0, 0], [3, 6, 15, 0, 0, 0], [3, 9, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"      ,"[3, 5, 12, 27, 56, 114, 231, 458, 873, 1587]"
          123 ,"[[5, 9, 17, 31, 59, 120], [4, 8, 14, 28, 61, 0], [4, 6, 14, 33, 0, 0], [2, 8, 19, 0, 0, 0], [6, 11, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"     ,"[5, 9, 17, 31, 59, 120, 249, 502, 961, 1739]"
          124 ,"[[6, 7, 10, 16, 30, 66], [1, 3, 6, 14, 36, 0], [2, 3, 8, 22, 0, 0], [1, 5, 14, 0, 0, 0], [4, 9, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"         ,"[6, 7, 10, 16, 30, 66, 152, 335, 686, 1305]"
          125 ,"[[4, 9, 16, 28, 50, 93], [5, 7, 12, 22, 43, 0], [2, 5, 10, 21, 0, 0], [3, 5, 11, 0, 0, 0], [2, 6, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"       ,"[4, 9, 16, 28, 50, 93, 178, 340, 632, 1129]"
          126 ,"[[4, 7, 16, 32, 58, 102], [3, 9, 16, 26, 44, 0], [6, 7, 10, 18, 0, 0], [1, 3, 8, 0, 0, 0], [2, 5, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"       ,"[4, 7, 16, 32, 58, 102, 180, 319, 560, 961]"
          127 ,"[[5, 7, 14, 29, 57, 107], [2, 7, 15, 28, 50, 0], [5, 8, 13, 22, 0, 0], [3, 5, 9, 0, 0, 0], [2, 4, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"       ,"[5, 7, 14, 29, 57, 107, 194, 341, 581, 959]"
          128 ,"[[4, 8, 14, 27, 58, 129], [4, 6, 13, 31, 71, 0], [2, 7, 18, 40, 0, 0], [5, 11, 22, 0, 0, 0], [6, 11, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"    ,"[4, 8, 14, 27, 58, 129, 278, 564, 1072, 1918]"
          129 ,"[[1, 5, 10, 20, 41, 84], [4, 5, 10, 21, 43, 0], [1, 5, 11, 22, 0, 0], [4, 6, 11, 0, 0, 0], [2, 5, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"       ,"[1, 5, 10, 20, 41, 84, 168, 323, 593, 1039]"
          130 ,"[[2, 7, 16, 35, 73, 145], [5, 9, 19, 38, 72, 0], [4, 10, 19, 34, 0, 0], [6, 9, 15, 0, 0, 0], [3, 6, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"     ,"[2, 7, 16, 35, 73, 145, 275, 499, 868, 1451]"
          131 ,"[[4, 7, 13, 25, 50, 101], [3, 6, 12, 25, 51, 0], [3, 6, 13, 26, 0, 0], [3, 7, 13, 0, 0, 0], [4, 6, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"      ,"[4, 7, 13, 25, 50, 101, 199, 375, 672, 1147]"
          132 ,"[[4, 7, 12, 22, 41, 77], [3, 5, 10, 19, 36, 0], [2, 5, 9, 17, 0, 0], [3, 4, 8, 0, 0, 0], [1, 4, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"         ,"[4, 7, 12, 22, 41, 77, 145, 270, 490, 859]"
          133 ,"[[3, 9, 19, 36, 65, 119], [6, 10, 17, 29, 54, 0], [4, 7, 12, 25, 0, 0], [3, 5, 13, 0, 0, 0], [2, 8, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"     ,"[3, 9, 19, 36, 65, 119, 225, 430, 807, 1461]"
          134 ,"[[4, 9, 19, 39, 77, 149], [5, 10, 20, 38, 72, 0], [5, 10, 18, 34, 0, 0], [5, 8, 16, 0, 0, 0], [3, 8, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"    ,"[4, 9, 19, 39, 77, 149, 284, 529, 954, 1657]"
          135 ,"[[6, 7, 9, 13, 21, 42], [1, 2, 4, 8, 21, 0], [1, 2, 4, 13, 0, 0], [1, 2, 9, 0, 0, 0], [1, 7, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"            ,"[6, 7, 9, 13, 21, 42, 98, 230, 504, 1017]"
          136 ,"[[1, 5, 11, 21, 38, 69], [4, 6, 10, 17, 31, 0], [2, 4, 7, 14, 0, 0], [2, 3, 7, 0, 0, 0], [1, 4, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"         ,"[1, 5, 11, 21, 38, 69, 128, 239, 439, 781]"
          137 ,"[[2, 4, 11, 27, 61, 132], [2, 7, 16, 34, 71, 0], [5, 9, 18, 37, 0, 0], [4, 9, 19, 0, 0, 0], [5, 10, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"     ,"[2, 4, 11, 27, 61, 132, 274, 541, 1012, 1796]"
          138 ,"[[5, 11, 22, 41, 72, 125], [6, 11, 19, 31, 53, 0], [5, 8, 12, 22, 0, 0], [3, 4, 10, 0, 0, 0], [1, 6, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"    ,"[5, 11, 22, 41, 72, 125, 221, 397, 711, 1247]"
          139 ,"[[5, 11, 22, 39, 65, 106], [6, 11, 17, 26, 41, 0], [5, 6, 9, 15, 0, 0], [1, 3, 6, 0, 0, 0], [2, 3, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"      ,"[5, 11, 22, 39, 65, 106, 172, 278, 445, 701]"
          140 ,"[[2, 8, 19, 39, 78, 157], [6, 11, 20, 39, 79, 0], [5, 9, 19, 40, 0, 0], [4, 10, 21, 0, 0, 0], [6, 11, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"   ,"[2, 8, 19, 39, 78, 157, 313, 604, 1114, 1958]"
          141 ,"[[4, 7, 13, 26, 54, 114], [3, 6, 13, 28, 60, 0], [3, 7, 15, 32, 0, 0], [4, 8, 17, 0, 0, 0], [4, 9, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"      ,"[4, 7, 13, 26, 54, 114, 237, 473, 896, 1609]"
          142 ,"[[1, 4, 10, 22, 44, 87], [3, 6, 12, 22, 43, 0], [3, 6, 10, 21, 0, 0], [3, 4, 11, 0, 0, 0], [1, 7, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"       ,"[1, 4, 10, 22, 44, 87, 175, 351, 683, 1270]"
          143 ,"[[3, 9, 21, 40, 72, 129], [6, 12, 19, 32, 57, 0], [6, 7, 13, 25, 0, 0], [1, 6, 12, 0, 0, 0], [5, 6, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"     ,"[3, 9, 21, 40, 72, 129, 230, 402, 681, 1113]"
          144 ,"[[3, 7, 17, 36, 70, 134], [4, 10, 19, 34, 64, 0], [6, 9, 15, 30, 0, 0], [3, 6, 15, 0, 0, 0], [3, 9, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"     ,"[3, 7, 17, 36, 70, 134, 258, 493, 917, 1641]"
          145 ,"[[6, 7, 10, 19, 44, 107], [1, 3, 9, 25, 63, 0], [2, 6, 16, 38, 0, 0], [4, 10, 22, 0, 0, 0], [6, 12, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"     ,"[6, 7, 10, 19, 44, 107, 248, 531, 1050, 1935]"
          146 ,"[[6, 12, 24, 46, 83, 142], [6, 12, 22, 37, 59, 0], [6, 10, 15, 22, 0, 0], [4, 5, 7, 0, 0, 0], [1, 2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"    ,"[6, 12, 24, 46, 83, 142, 233, 370, 572, 864]"
          147 ,"[[1, 5, 13, 30, 62, 119], [4, 8, 17, 32, 57, 0], [4, 9, 15, 25, 0, 0], [5, 6, 10, 0, 0, 0], [1, 4, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"      ,"[1, 5, 13, 30, 62, 119, 218, 386, 663, 1105]"
          148 ,"[[4, 6, 14, 32, 67, 132], [2, 8, 18, 35, 65, 0], [6, 10, 17, 30, 0, 0], [4, 7, 13, 0, 0, 0], [3, 6, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"     ,"[4, 6, 14, 32, 67, 132, 249, 452, 790, 1330]"
          149 ,"[[6, 8, 14, 28, 57, 114], [2, 6, 14, 29, 57, 0], [4, 8, 15, 28, 0, 0], [4, 7, 13, 0, 0, 0], [3, 6, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"      ,"[6, 8, 14, 28, 57, 114, 221, 412, 736, 1260]"
          150 ,"[[3, 4, 9, 23, 57, 132], [1, 5, 14, 34, 75, 0], [4, 9, 20, 41, 0, 0], [5, 11, 21, 0, 0, 0], [6, 10, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"     ,"[3, 4, 9, 23, 57, 132, 283, 563, 1047, 1836]"
          151 ,"[[4, 5, 8, 16, 38, 95], [1, 3, 8, 22, 57, 0], [2, 5, 14, 35, 0, 0], [3, 9, 21, 0, 0, 0], [6, 12, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"        ,"[4, 5, 8, 16, 38, 95, 226, 494, 992, 1849]"
          152 ,"[[3, 5, 11, 26, 56, 111], [2, 6, 15, 30, 55, 0], [4, 9, 15, 25, 0, 0], [5, 6, 10, 0, 0, 0], [1, 4, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"      ,"[3, 5, 11, 26, 56, 111, 208, 374, 649, 1089]"
          153 ,"[[2, 4, 12, 29, 64, 136], [2, 8, 17, 35, 72, 0], [6, 9, 18, 37, 0, 0], [3, 9, 19, 0, 0, 0], [6, 10, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"     ,"[2, 4, 12, 29, 64, 136, 278, 541, 998, 1748]"
          154 ,"[[6, 10, 16, 29, 58, 122], [4, 6, 13, 29, 64, 0], [2, 7, 16, 35, 0, 0], [5, 9, 19, 0, 0, 0], [4, 10, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"    ,"[6, 10, 16, 29, 58, 122, 256, 517, 990, 1794]"
          155 ,"[[1, 6, 16, 33, 63, 117], [5, 10, 17, 30, 54, 0], [5, 7, 13, 24, 0, 0], [2, 6, 11, 0, 0, 0], [4, 5, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"     ,"[1, 6, 16, 33, 63, 117, 212, 372, 629, 1024]"
          156 ,"[[5, 7, 10, 19, 45, 109], [2, 3, 9, 26, 64, 0], [1, 6, 17, 38, 0, 0], [5, 11, 21, 0, 0, 0], [6, 10, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"     ,"[5, 7, 10, 19, 45, 109, 246, 509, 973, 1739]"
          157 ,"[[6, 10, 19, 34, 60, 107], [4, 9, 15, 26, 47, 0], [5, 6, 11, 21, 0, 0], [1, 5, 10, 0, 0, 0], [4, 5, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"     ,"[6, 10, 19, 34, 60, 107, 191, 335, 570, 936]"
          158 ,"[[4, 5, 7, 11, 21, 45], [1, 2, 4, 10, 24, 0], [1, 2, 6, 14, 0, 0], [1, 4, 8, 0, 0, 0], [3, 4, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"           ,"[4, 5, 7, 11, 21, 45, 96, 193, 362, 637]"
          159 ,"[[2, 3, 10, 27, 64, 142], [1, 7, 17, 37, 78, 0], [6, 10, 20, 41, 0, 0], [4, 10, 21, 0, 0, 0], [6, 11, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"   ,"[2, 3, 10, 27, 64, 142, 298, 590, 1102, 1949]"
          160 ,"[[1, 6, 17, 40, 85, 170], [5, 11, 23, 45, 85, 0], [6, 12, 22, 40, 0, 0], [6, 10, 18, 0, 0, 0], [4, 8, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"   ,"[1, 6, 17, 40, 85, 170, 325, 596, 1049, 1774]"
          161 ,"[[6, 12, 24, 46, 83, 146], [6, 12, 22, 37, 63, 0], [6, 10, 15, 26, 0, 0], [4, 5, 11, 0, 0, 0], [1, 6, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"   ,"[6, 12, 24, 46, 83, 146, 257, 454, 796, 1368]"
          162 ,"[[3, 4, 10, 26, 58, 115], [1, 6, 16, 32, 57, 0], [5, 10, 16, 25, 0, 0], [5, 6, 9, 0, 0, 0], [1, 3, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"      ,"[3, 4, 10, 26, 58, 115, 211, 367, 613, 990]"
          163 ,"[[4, 7, 13, 27, 55, 109], [3, 6, 14, 28, 54, 0], [3, 8, 14, 26, 0, 0], [5, 6, 12, 0, 0, 0], [1, 6, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"      ,"[4, 7, 13, 27, 55, 109, 212, 403, 742, 1315]"
          164 ,"[[6, 10, 20, 41, 80, 152], [4, 10, 21, 39, 72, 0], [6, 11, 18, 33, 0, 0], [5, 7, 15, 0, 0, 0], [2, 8, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"   ,"[6, 10, 20, 41, 80, 152, 286, 531, 962, 1686]"
          165 ,"[[4, 9, 16, 26, 41, 69], [5, 7, 10, 15, 28, 0], [2, 3, 5, 13, 0, 0], [1, 2, 8, 0, 0, 0], [1, 6, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"         ,"[4, 9, 16, 26, 41, 69, 129, 256, 506, 961]"
          166 ,"[[6, 10, 20, 37, 65, 115], [4, 10, 17, 28, 50, 0], [6, 7, 11, 22, 0, 0], [1, 4, 11, 0, 0, 0], [3, 7, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"    ,"[6, 10, 20, 37, 65, 115, 209, 384, 696, 1224]"
          167 ,"[[3, 7, 16, 36, 79, 166], [4, 9, 20, 43, 87, 0], [5, 11, 23, 44, 0, 0], [6, 12, 21, 0, 0, 0], [6, 9, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"    ,"[3, 7, 16, 36, 79, 166, 330, 619, 1099, 1857]"
          168 ,"[[6, 11, 20, 35, 59, 100], [5, 9, 15, 24, 41, 0], [4, 6, 9, 17, 0, 0], [2, 3, 8, 0, 0, 0], [1, 5, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"       ,"[6, 11, 20, 35, 59, 100, 175, 314, 564, 993]"
          169 ,"[[6, 8, 16, 31, 55, 96], [2, 8, 15, 24, 41, 0], [6, 7, 9, 17, 0, 0], [1, 2, 8, 0, 0, 0], [1, 6, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"         ,"[6, 8, 16, 31, 55, 96, 173, 321, 596, 1080]"
          170 ,"[[5, 10, 16, 24, 38, 66], [5, 6, 8, 14, 28, 0], [1, 2, 6, 14, 0, 0], [1, 4, 8, 0, 0, 0], [3, 4, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"         ,"[5, 10, 16, 24, 38, 66, 121, 222, 395, 674]"
          171 ,"[[2, 5, 12, 25, 52, 112], [3, 7, 13, 27, 60, 0], [4, 6, 14, 33, 0, 0], [2, 8, 19, 0, 0, 0], [6, 11, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"     ,"[2, 5, 12, 25, 52, 112, 240, 492, 950, 1727]"
          172 ,"[[1, 5, 11, 24, 54, 120], [4, 6, 13, 30, 66, 0], [2, 7, 17, 36, 0, 0], [5, 10, 19, 0, 0, 0], [5, 9, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"     ,"[1, 5, 11, 24, 54, 120, 254, 505, 943, 1663]"
          173 ,"[[5, 9, 18, 36, 73, 146], [4, 9, 18, 37, 73, 0], [5, 9, 19, 36, 0, 0], [4, 10, 17, 0, 0, 0], [6, 7, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"     ,"[5, 9, 18, 36, 73, 146, 280, 509, 877, 1439]"
          174 ,"[[5, 7, 14, 32, 70, 143], [2, 7, 18, 38, 73, 0], [5, 11, 20, 35, 0, 0], [6, 9, 15, 0, 0, 0], [3, 6, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"     ,"[5, 7, 14, 32, 70, 143, 275, 502, 875, 1463]"
          175 ,"[[5, 10, 19, 36, 66, 117], [5, 9, 17, 30, 51, 0], [4, 8, 13, 21, 0, 0], [4, 5, 8, 0, 0, 0], [1, 3, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"      ,"[5, 10, 19, 36, 66, 117, 202, 341, 563, 908]"
          176 ,"[[4, 7, 16, 34, 65, 115], [3, 9, 18, 31, 50, 0], [6, 9, 13, 19, 0, 0], [3, 4, 6, 0, 0, 0], [1, 2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"       ,"[4, 7, 16, 34, 65, 115, 193, 312, 490, 751]"
          177 ,"[[4, 6, 10, 21, 47, 104], [2, 4, 11, 26, 57, 0], [2, 7, 15, 31, 0, 0], [5, 8, 16, 0, 0, 0], [3, 8, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"      ,"[4, 6, 10, 21, 47, 104, 221, 445, 846, 1522]"
          178 ,"[[2, 5, 11, 26, 59, 124], [3, 6, 15, 33, 65, 0], [3, 9, 18, 32, 0, 0], [6, 9, 14, 0, 0, 0], [3, 5, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"      ,"[2, 5, 11, 26, 59, 124, 242, 443, 768, 1271]"
          179 ,"[[3, 6, 14, 33, 71, 140], [3, 8, 19, 38, 69, 0], [5, 11, 19, 31, 0, 0], [6, 8, 12, 0, 0, 0], [2, 4, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"     ,"[3, 6, 14, 33, 71, 140, 258, 451, 755, 1218]"
          180 ,"[[2, 7, 15, 32, 70, 152], [5, 8, 17, 38, 82, 0], [3, 9, 21, 44, 0, 0], [6, 12, 23, 0, 0, 0], [6, 11, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"    ,"[2, 7, 15, 32, 70, 152, 317, 625, 1162, 2045]"
